0|logged in|2025-11-02T23:23:11.861066600Z
0|list users|2025-11-02T23:23:15.231595700Z
0|list catalogs|2025-11-02T23:23:22.599523500Z
0|list catalogs|2025-11-02T23:23:25.078124700Z
0|list files in catalog `A`|2025-11-02T23:23:33.280216400Z
0|read file `file1.txt` in catalog `A`|2025-11-02T23:23:33.286215700Z
0|list files in catalog `A`|2025-11-02T23:23:42.846574Z
0|execute file `file2.txt` in catalog `A`|2025-11-02T23:23:42.849580300Z
0|list catalogs|2025-11-02T23:23:49.410916200Z
0|list catalogs|2025-11-02T23:23:55.389236600Z
0|list files in catalog `A`|2025-11-02T23:23:57.039590100Z
0|list catalogs|2025-11-02T23:24:02.743527300Z
0|list files in catalog `B`|2025-11-02T23:24:04.440072200Z
0|logged in|2025-11-02T23:27:40.622127400Z
1|logged in|2025-11-02T23:27:52.047144Z
0|logged in|2025-11-02T23:29:57.780877400Z
1|logged in|2025-11-02T23:30:04.384441800Z
0|logged in|2025-11-02T23:30:25.502280100Z
0|logged in|2025-11-02T23:30:48.195965700Z
0|create user `user`|2025-11-02T23:31:14.673871100Z
2|logged in|2025-11-02T23:31:22.860657300Z

2|logged in|2025-11-02T23:32:21.099847400Z

2|list catalogs|2025-11-02T23:32:28.234416600Z

2|list catalogs|2025-11-02T23:32:34.001751800Z

2|logged in|2025-11-02T23:32:54.916791600Z

2|list catalogs|2025-11-02T23:33:01.642959100Z

2|list catalogs|2025-11-02T23:33:05.888961Z

2|logged in|2025-11-02T23:39:40.664649900Z

0|logged in|2025-11-02T23:40:05.036759800Z

0|list catalogs|2025-11-02T23:40:11.821042700Z

0|list catalogs|2025-11-02T23:40:14.588964700Z

0|list files in catalog `C`|2025-11-02T23:40:17.288827Z

0|list files in catalog `C`|2025-11-02T23:40:24.696985100Z

0|list catalogs|2025-11-02T23:40:39.107383100Z

0|logged in|2025-11-06T18:50:54.592683800Z

0|logged in|2025-11-06T18:52:38.896743300Z

0|logged in|2025-11-06T20:38:28.442947100Z

0|logged in|2025-11-06T20:38:49.470535100Z

0|list users|2025-11-06T20:38:57.318312800Z

0|create user `NewUser`|2025-11-06T20:39:26.136462900Z

0|list catalogs|2025-11-06T20:39:45.836963500Z

0|list catalogs|2025-11-06T20:39:50.409714900Z

0|list files in catalog `A`|2025-11-06T20:39:52.607713100Z

0|logged in|2025-11-06T20:42:32.194046Z

0|list users|2025-11-06T20:43:13.009508100Z

0|refreshed session|2025-11-06T20:43:45.901353500Z
